Start,Finish,Active Calories (kcal),Blood Pressure (Diastolic) (mmHg),Blood Pressure (Systolic) (mmHg),Distance (mi),Heart Rate (count/min),Steps
29-May-2019 00:00,30-May-2019 00:00,538.661999999999,0.0,0.0,2.48625150615177,110.0,5026.10568314382
30-May-2019 00:00,31-May-2019 00:00,527.451,0.0,0.0,2.76878478117571,108.0,5671.0
31-May-2019 00:00,01-Jun-2019 00:00,635.768,0.0,0.0,5.36845613626652,119.0,11005.0
01-Jun-2019 00:00,02-Jun-2019 00:00,560.953335432038,0.0,0.0,4.089721506334,138.0,8642.0
02-Jun-2019 00:00,03-Jun-2019 00:00,728.644664567962,0.0,0.0,4.14424700648014,138.0,8935.0
03-Jun-2019 00:00,04-Jun-2019 00:00,505.772,0.0,0.0,2.79847758828427,123.0,5599.0
04-Jun-2019 00:00,05-Jun-2019 00:00,583.005999999999,0.0,0.0,2.9455653572948,127.0,5938.0
05-Jun-2019 00:00,06-Jun-2019 00:00,590.257,0.0,0.0,2.47446341369779,112.0,4963.0
06-Jun-2019 00:00,07-Jun-2019 00:00,574.462366941836,0.0,0.0,3.63392934427365,145.0,7419.0
07-Jun-2019 00:00,08-Jun-2019 00:00,431.676633058163,0.0,0.0,2.60329887046236,129.0,5271.0
08-Jun-2019 00:00,09-Jun-2019 00:00,310.715,0.0,0.0,2.11596494723071,119.0,4426.0
09-Jun-2019 00:00,10-Jun-2019 00:00,243.294,0.0,0.0,1.53570885120217,113.0,3150.0
10-Jun-2019 00:00,11-Jun-2019 00:00,435.915,0.0,0.0,3.60063270994931,106.0,7318.0
11-Jun-2019 00:00,12-Jun-2019 00:00,574.154,0.0,0.0,2.95837212365795,124.0,5995.0
12-Jun-2019 00:00,13-Jun-2019 00:00,415.771999999999,0.0,0.0,1.64887943068206,96.0,3343.0
13-Jun-2019 00:00,14-Jun-2019 00:00,604.566,0.0,0.0,1.84873316503453,118.0,3695.0
14-Jun-2019 00:00,15-Jun-2019 00:00,703.459732655233,0.0,0.0,4.77061319171179,133.0,9867.0
15-Jun-2019 00:00,16-Jun-2019 00:00,786.210267344765,0.0,0.0,4.0502469137596,137.0,8352.42061413104
16-Jun-2019 00:00,17-Jun-2019 00:00,64.386,0.0,0.0,0.996438734634602,113.0,2028.95870681986
17-Jun-2019 00:00,18-Jun-2019 00:00,501.439999999999,0.0,0.0,2.29014686898194,116.0,4651.0
18-Jun-2019 00:00,19-Jun-2019 00:00,571.688,0.0,0.0,2.51012532611231,119.0,5123.0
19-Jun-2019 00:00,20-Jun-2019 00:00,629.826000000001,0.0,0.0,2.88888021356666,123.0,5813.0
20-Jun-2019 00:00,21-Jun-2019 00:00,576.445000000001,0.0,0.0,4.43045825782433,113.0,8849.0
21-Jun-2019 00:00,22-Jun-2019 00:00,888.427194390311,0.0,0.0,5.95823406743527,167.0,12067.0387166319
22-Jun-2019 00:00,23-Jun-2019 00:00,682.177805609688,0.0,0.0,4.07255471006053,128.0,8332.9612833681
23-Jun-2019 00:00,24-Jun-2019 00:00,991.939,0.0,0.0,8.55940672889446,133.0,18273.7212862825
24-Jun-2019 00:00,25-Jun-2019 00:00,0.161,0.0,0.0,0.0,0.0,0.0
25-Jun-2019 00:00,26-Jun-2019 00:00,585.335,0.0,0.0,2.41972936526363,106.0,4953.0
26-Jun-2019 00:00,27-Jun-2019 00:00,479.011,0.0,0.0,1.69154437885732,115.0,3446.94634733127
27-Jun-2019 00:00,28-Jun-2019 00:00,530.31,0.0,0.0,1.99809679082043,115.0,4029.0
28-Jun-2019 00:00,29-Jun-2019 00:00,827.43,0.0,0.0,4.24178380896727,121.0,8397.0
29-Jun-2019 00:00,30-Jun-2019 00:00,38.118,0.0,0.0,0.370110132942273,112.0,739.0
30-Jun-2019 00:00,01-Jul-2019 00:00,678.488447088712,0.0,0.0,4.17791516966982,135.0,8448.0
01-Jul-2019 00:00,02-Jul-2019 00:00,502.377552911289,0.0,0.0,1.57958995771386,143.0,3200.0
02-Jul-2019 00:00,03-Jul-2019 00:00,620.002000000001,0.0,0.0,2.53190082154719,96.0,5007.0
03-Jul-2019 00:00,04-Jul-2019 00:00,531.643000000001,0.0,0.0,1.82543761431917,102.0,3682.0
04-Jul-2019 00:00,05-Jul-2019 00:00,689.139,0.0,0.0,3.7782292252009,114.0,7399.0
05-Jul-2019 00:00,06-Jul-2019 00:00,568.891,0.0,0.0,3.31410254761197,119.0,6718.0
06-Jul-2019 00:00,07-Jul-2019 00:00,652.212732427645,0.0,0.0,3.90542099178017,136.0,7826.80507721004
07-Jul-2019 00:00,08-Jul-2019 00:00,589.980267572354,0.0,0.0,2.83560159269833,120.0,5911.0
08-Jul-2019 00:00,09-Jul-2019 00:00,547.304,0.0,0.0,2.26802583062502,112.0,4566.0
09-Jul-2019 00:00,10-Jul-2019 00:00,536.574,0.0,0.0,2.02692027740678,98.0,4055.0
10-Jul-2019 00:00,11-Jul-2019 00:00,604.383,0.0,0.0,2.41309809703874,107.0,4904.0
11-Jul-2019 00:00,12-Jul-2019 00:00,537.171,0.0,0.0,2.48092409494742,117.0,4938.0
